FIPS,qtr,Property,Violence,Drug,Prostitution,pop,med_inc,pct_color,pop_density,Property.k,Violence.k,Drug.k,Prostitution.k,Allcrime,Allcrime.k,group
8031002902,2014,23,1,1,0,4330,110720,0.12193995381062356,8885.66492767594,5.311778290993072,0.23094688221709006,0.23094688221709006,0,25,5.773672055427252,3
8031002902,2014.25,27,2,1,0,4330,110720,0.12193995381062356,8885.66492767594,6.235565819861431,0.4618937644341801,0.23094688221709006,0,30,6.928406466512702,3
8031002902,2014.5,37,2,1,0,4330,110720,0.12193995381062356,8885.66492767594,8.545034642032332,0.4618937644341801,0.23094688221709006,0,40,9.237875288683602,3
8031002902,2014.75,35,2,1,0,4330,110720,0.12193995381062356,8885.66492767594,8.083140877598153,0.4618937644341801,0.23094688221709006,0,38,8.775981524249422,3
8031002902,2015,24,2,3,0,4330,110720,0.12193995381062356,8885.66492767594,5.542725173210162,0.4618937644341801,0.6928406466512702,0,29,6.697459584295612,3
8031002902,2015.25,34,2,3,0,4330,110720,0.12193995381062356,8885.66492767594,7.852193995381063,0.4618937644341801,0.6928406466512702,0,39,9.006928406466512,3
8031002902,2015.5,38,0,1,0,4330,110720,0.12193995381062356,8885.66492767594,8.775981524249422,0,0.23094688221709006,0,39,9.006928406466512,3
8031002902,2015.75,47,1,4,0,4330,110720,0.12193995381062356,8885.66492767594,10.854503464203233,0.23094688221709006,0.9237875288683602,0,52,12.009237875288683,3
8031002902,2016,23,0,2,0,4330,110720,0.12193995381062356,8885.66492767594,5.311778290993072,0,0.4618937644341801,0,25,5.773672055427252,3
8031002902,2016.25,34,3,0,0,4330,110720,0.12193995381062356,8885.66492767594,7.852193995381063,0.6928406466512702,0,0,37,8.545034642032332,3
8031002902,2016.5,30,4,0,0,4330,110720,0.12193995381062356,8885.66492767594,6.928406466512702,0.9237875288683602,0,0,34,7.852193995381063,3
8031002902,2016.75,33,2,0,0,4330,110720,0.12193995381062356,8885.66492767594,7.621247113163972,0.4618937644341801,0,0,35,8.083140877598153,3
8031002902,2017,27,0,0,0,4330,110720,0.12193995381062356,8885.66492767594,6.235565819861431,0,0,0,27,6.235565819861431,3
8031002902,2017.25,43,0,0,0,4330,110720,0.12193995381062356,8885.66492767594,9.930715935334874,0,0,0,43,9.930715935334874,3
8031002902,2017.5,32,3,1,0,4330,110720,0.12193995381062356,8885.66492767594,7.390300230946882,0.6928406466512702,0.23094688221709006,0,36,8.314087759815243,3
8031002902,2017.75,23,3,0,0,4330,110720,0.12193995381062356,8885.66492767594,5.311778290993072,0.6928406466512702,0,0,26,6.0046189376443415,3
8031002902,2018,25,1,0,0,4330,110720,0.12193995381062356,8885.66492767594,5.773672055427252,0.23094688221709006,0,0,26,6.0046189376443415,3
8031002902,2018.25,29,4,0,0,4330,110720,0.12193995381062356,8885.66492767594,6.697459584295612,0.9237875288683602,0,0,33,7.621247113163972,3
8031002902,2018.5,38,1,0,0,4330,110720,0.12193995381062356,8885.66492767594,8.775981524249422,0.23094688221709006,0,0,39,9.006928406466512,3
8031002902,2018.75,20,1,0,0,4330,110720,0.12193995381062356,8885.66492767594,4.618937644341801,0.23094688221709006,0,0,21,4.849884526558891,3
